	ancestor	descendant	desc_seq_len	alignment_len	pfam	logP_perSamp
18	S1PR1_HUMAN/62-311	OLF15_MOUSE/41-290	250	275	PF00001	-3.902819
12	ADRB1_HUMAN/75-377	5HT2A_HUMAN/91-380	290	308	PF00001	-3.146403
4	TRFR_HUMAN/42-320	FSHR_BOVIN/379-626	248	287	PF00001	-3.8121743
16	OPSB_HUMAN/51-303	MC3R_MOUSE/55-299	245	269	PF00001	-3.820452
5	FSHR_BOVIN/379-626	TRFR_HUMAN/42-320	279	287	PF00001	-3.5061407
26	ACKR4_BOVIN/58-303	OLF15_MOUSE/41-290	250	269	PF00001	-3.7874372
11	OPS1_DROME/67-329	US28_HCMVM/50-291	242	278	PF00001	-3.785217
6	UL33_HCMVM/50-306	CXCR4_BOVIN/56-303	248	268	PF00001	-3.6127632
38	RYAR_DROME/122-383	5HT1B_HUMAN/66-369	304	319	PF00001	-3.3501685
10	US28_HCMVM/50-291	OPS1_DROME/67-329	263	278	PF00001	-3.6073375
13	5HT2A_HUMAN/91-380	ADRB1_HUMAN/75-377	303	308	PF00001	-3.046462
20	NK1R_CAVPO/49-305	PE2R4_HUMAN/34-329	296	297	PF00001	-3.6009138
31	OPS1_DROME/67-329	CXCR1_HUMAN/56-305	250	278	PF00001	-3.8030555
36	APJ_HUMAN/45-309	A0A8R1I4B6_CAEJA/18-649	632	665	PF00001	-3.4597805
22	HRH2_CANLF/35-288	DRD2_BOVIN/51-427	377	388	PF00001	-2.9779143
25	APJ_HUMAN/45-309	CXCR5_HUMAN/68-322	255	272	PF00001	-3.2916255
17	MC3R_MOUSE/55-299	OPSB_HUMAN/51-303	253	269	PF00001	-3.6966023
34	TRFR_HUMAN/42-320	CCR1_HUMAN/51-301	251	292	PF00001	-3.6255527
1	A0A8R1I4B6_CAEJA/18-649	5HT7R_HUMAN/98-384	287	652	PF00001	-6.2659225
37	A0A8R1I4B6_CAEJA/18-649	APJ_HUMAN/45-309	265	665	PF00001	-7.0234838
15	PE2R4_HUMAN/34-329	GP182_RAT/66-316	251	305	PF00001	-4.198759
19	OLF15_MOUSE/41-290	S1PR1_HUMAN/62-311	250	275	PF00001	-3.8328428
35	CCR1_HUMAN/51-301	TRFR_HUMAN/42-320	279	292	PF00001	-3.3593981
0	5HT7R_HUMAN/98-384	A0A8R1I4B6_CAEJA/18-649	632	652	PF00001	-3.335029
3	OL287_RAT/44-293	DRD1_HUMAN/40-331	292	306	PF00001	-3.714877
29	RYAR_DROME/122-383	SSR1_HUMAN/75-323	249	267	PF00001	-3.19454
30	CXCR1_HUMAN/56-305	OPS1_DROME/67-329	263	278	PF00001	-3.7185922
21	PE2R4_HUMAN/34-329	NK1R_CAVPO/49-305	257	297	PF00001	-4.0423536
28	SSR1_HUMAN/75-323	RYAR_DROME/122-383	262	267	PF00001	-3.1720662
8	NTR1_HUMAN/80-364	TA2R_HUMAN/41-308	268	295	PF00001	-3.8975735
23	DRD2_BOVIN/51-427	HRH2_CANLF/35-288	254	388	PF00001	-3.9586933
39	5HT1B_HUMAN/66-369	RYAR_DROME/122-383	262	319	PF00001	-3.8138256
27	OLF15_MOUSE/41-290	ACKR4_BOVIN/58-303	246	269	PF00001	-3.8323627
32	SSR1_HUMAN/75-323	CCKAR_HUMAN/58-370	313	315	PF00001	-3.149253
7	CXCR4_BOVIN/56-303	UL33_HCMVM/50-306	257	268	PF00001	-3.473319
2	DRD1_HUMAN/40-331	OL287_RAT/44-293	250	306	PF00001	-4.12736
33	CCKAR_HUMAN/58-370	SSR1_HUMAN/75-323	249	315	PF00001	-3.686715
9	TA2R_HUMAN/41-308	NTR1_HUMAN/80-364	285	295	PF00001	-3.7749867
24	CXCR5_HUMAN/68-322	APJ_HUMAN/45-309	265	272	PF00001	-3.180082
14	GP182_RAT/66-316	PE2R4_HUMAN/34-329	296	305	PF00001	-3.6816015
