	ancestor	descendant	desc_seq_len	alignment_len	pfam	logP_perSamp
26	ACKR4_BOVIN/58-303	OLF15_MOUSE/41-290	250	269	PF00001	-2.8369021
16	OPSB_HUMAN/51-303	MC3R_MOUSE/55-299	245	269	PF00001	-2.832974
3	OL287_RAT/44-293	DRD1_HUMAN/40-331	292	306	PF00001	-2.8372517
39	5HT1B_HUMAN/66-369	RYAR_DROME/122-383	262	319	PF00001	-2.8796315
21	PE2R4_HUMAN/34-329	NK1R_CAVPO/49-305	257	297	PF00001	-2.8988264
27	OLF15_MOUSE/41-290	ACKR4_BOVIN/58-303	246	269	PF00001	-2.8734841
2	DRD1_HUMAN/40-331	OL287_RAT/44-293	250	306	PF00001	-2.8069308
18	S1PR1_HUMAN/62-311	OLF15_MOUSE/41-290	250	275	PF00001	-2.8384662
22	HRH2_CANLF/35-288	DRD2_BOVIN/51-427	377	388	PF00001	-2.8519034
20	NK1R_CAVPO/49-305	PE2R4_HUMAN/34-329	296	297	PF00001	-2.8434274
0	5HT7R_HUMAN/98-384	A0A8R1I4B6_CAEJA/18-649	632	652	PF00001	-2.8240304
37	A0A8R1I4B6_CAEJA/18-649	APJ_HUMAN/45-309	265	665	PF00001	-2.851985
32	SSR1_HUMAN/75-323	CCKAR_HUMAN/58-370	313	315	PF00001	-2.826428
10	US28_HCMVM/50-291	OPS1_DROME/67-329	263	278	PF00001	-2.887499
6	UL33_HCMVM/50-306	CXCR4_BOVIN/56-303	248	268	PF00001	-2.8706515
23	DRD2_BOVIN/51-427	HRH2_CANLF/35-288	254	388	PF00001	-2.8195112
35	CCR1_HUMAN/51-301	TRFR_HUMAN/42-320	279	292	PF00001	-2.8206725
9	TA2R_HUMAN/41-308	NTR1_HUMAN/80-364	285	295	PF00001	-2.873837
5	FSHR_BOVIN/379-626	TRFR_HUMAN/42-320	279	287	PF00001	-2.8191411
14	GP182_RAT/66-316	PE2R4_HUMAN/34-329	296	305	PF00001	-2.8563173
13	5HT2A_HUMAN/91-380	ADRB1_HUMAN/75-377	303	308	PF00001	-2.8585668
1	A0A8R1I4B6_CAEJA/18-649	5HT7R_HUMAN/98-384	287	652	PF00001	-2.8823705
8	NTR1_HUMAN/80-364	TA2R_HUMAN/41-308	268	295	PF00001	-2.824081
19	OLF15_MOUSE/41-290	S1PR1_HUMAN/62-311	250	275	PF00001	-2.7781365
33	CCKAR_HUMAN/58-370	SSR1_HUMAN/75-323	249	315	PF00001	-2.8130844
34	TRFR_HUMAN/42-320	CCR1_HUMAN/51-301	251	292	PF00001	-2.8359702
25	APJ_HUMAN/45-309	CXCR5_HUMAN/68-322	255	272	PF00001	-2.8561914
11	OPS1_DROME/67-329	US28_HCMVM/50-291	242	278	PF00001	-2.845571
24	CXCR5_HUMAN/68-322	APJ_HUMAN/45-309	265	272	PF00001	-2.8176696
12	ADRB1_HUMAN/75-377	5HT2A_HUMAN/91-380	290	308	PF00001	-2.8570507
7	CXCR4_BOVIN/56-303	UL33_HCMVM/50-306	257	268	PF00001	-2.807762
28	SSR1_HUMAN/75-323	RYAR_DROME/122-383	262	267	PF00001	-2.8841403
30	CXCR1_HUMAN/56-305	OPS1_DROME/67-329	263	278	PF00001	-2.892336
38	RYAR_DROME/122-383	5HT1B_HUMAN/66-369	304	319	PF00001	-2.862182
4	TRFR_HUMAN/42-320	FSHR_BOVIN/379-626	248	287	PF00001	-2.8365893
29	RYAR_DROME/122-383	SSR1_HUMAN/75-323	249	267	PF00001	-2.8183422
31	OPS1_DROME/67-329	CXCR1_HUMAN/56-305	250	278	PF00001	-2.8222625
15	PE2R4_HUMAN/34-329	GP182_RAT/66-316	251	305	PF00001	-2.854219
17	MC3R_MOUSE/55-299	OPSB_HUMAN/51-303	253	269	PF00001	-2.8471491
36	APJ_HUMAN/45-309	A0A8R1I4B6_CAEJA/18-649	632	665	PF00001	-2.7952468
